Clock Time (s),Elapsed Time (s),ar,atheta,aphi,gx,gy,gz,mx,my,mz,
54994.8,80.10000000000582,0.9476813810558905,2.4879567566702714,0.6747659949717772,-0.86,-1.72,0.52,23.34,-11.96,29.10,
54994.9,80.20000000000437,1.0132620588969075,2.179485634122308,0.4082229708328855,-0.03,-2.83,0.35,17.85,-8.16,23.87,
54995.0,80.30000000000291,0.9687620966986684,1.9720251257997454,0.3790390102948352,-0.41,-2.63,0.75,9.01,-9.58,18.75,
54995.1,80.40000000000146,0.705691150575094,0.7378150601204649,0.4348996600699835,-0.47,-2.18,0.86,-1.43,-6.67,16.91,
54995.2,80.5,0.8929725639682331,0.420663349133035,0.48497707815228347,-0.46,-0.04,0.19,-6.71,-2.96,16.64,
54995.3,80.60000000000582,0.8994998610338971,0.5667292175235064,0.4498774122040149,0.04,0.00,-0.17,-8.45,-0.68,17.75,
54995.4,80.70000000000437,0.870976463516667,0.4856220932974687,0.486306225431557,-0.11,-0.12,-0.16,-8.04,-1.54,17.74,
54995.5,80.80000000000291,0.9432391001225512,0.40024065703397416,0.3039594076614452,0.25,0.59,0.06,-8.96,-1.19,18.01,
54995.6,80.90000000000146,0.9571311299921239,0.9197196053504169,0.27945537204274273,0.79,0.30,0.28,-6.56,-3.93,16.24,
54995.7,81.0,0.7543208866258444,0.3851575063634741,0.557755382497133,0.96,0.16,-0.14,-6.57,-6.68,16.23,
54995.8,81.10000000000582,0.6207253821135398,1.382574821490126,0.759822516737253,-0.09,1.67,-0.31,-5.58,-11.70,14.40,
54995.9,81.20000000000437,0.7834538914320357,1.3868528702577214,0.5922987566631716,-1.46,-0.15,-0.37,-0.40,-12.83,13.56,
54996.0,81.30000000000291,1.1150784725749125,0.9621070194674849,0.36905186801951884,-2.19,0.78,-0.17,-2.13,-6.85,12.44,
54996.1,81.40000000000146,1.2920139318134307,5.3003915839322575,0.05584190301004477,-1.84,0.21,-0.36,2.33,1.88,11.88,
54996.2,81.5,1.2100826418059223,5.237184752034797,0.18244012949541255,-1.06,0.55,0.03,1.14,6.50,12.38,
54996.3,81.60000000000582,1.2060265337047937,4.795530212273131,0.10001183029418018,-0.00,0.22,-0.22,5.29,10.48,14.10,
54996.4,81.70000000000437,0.9218459741193211,4.529278163122205,0.30246097981983683,-0.09,-0.13,0.10,6.61,9.93,13.73,
54996.5,81.80000000000291,0.9685556256612213,4.54019816586175,0.243428477447061,0.04,-0.09,-0.04,6.15,9.81,14.40,
54996.6,81.90000000000146,0.9513148795220224,4.662430584662747,0.21208430738170478,-0.10,-0.07,0.11,4.90,9.58,14.40,
54996.7,82.0,0.9219002115196633,4.41694814324097,0.2638336316056952,-0.05,0.12,0.10,6.27,9.93,14.06,
54996.8,82.10000000000582,0.925526876973327,4.478645799515788,0.23540874691095143,-0.04,-0.08,-0.05,5.35,11.12,13.85,
54996.9,82.20000000000437,0.938669270829721,4.668938084993159,0.24778706515485302,0.00,-0.08,-0.05,4.90,10.95,13.73,
54997.0,82.30000000000291,0.9220086767487604,4.662430584662747,0.21893347096484067,0.00,-0.02,-0.03,3.53,10.95,13.39,
