Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,
0.977778,0.781284,,,,,,,,,-1.951868,,,,,,,,,1.279134,,,,,,,,,-0.210634,,,,,,,,,-0.073421,,,,,,,,,0.144806,,,,,,,,,0.000000,,,,,,,,,-2.424262,,,,,,,,,-1.928618,,,,,,,,,
1.000000,0.734276,,,,,,,,,-2.001123,,,,,,,,,1.288877,,,,,,,,,-0.117657,,,,,,,,,-0.071131,,,,,,,,,0.037343,,,,,,,,,0.000000,,,,,,,,,-2.919302,,,,,,,,,-1.928390,,,,,,,,,
0.000000,,0.426546,,,,,,,,,-1.362014,,,,,,,,,0.828847,,,,,,,,,0.088482,,,,,,,,,-0.173467,,,,,,,,,-0.108576,,,,,,,,,0.000000,,,,,,,,,-2.304347,,,,,,,,,-1.442793,,,,,,,,
0.009524,,0.523995,,,,,,,,,-1.355461,,,,,,,,,0.844044,,,,,,,,,0.120783,,,,,,,,,-0.343423,,,,,,,,,-0.292546,,,,,,,,,0.000000,,,,,,,,,-1.807270,,,,,,,,,-1.441425,,,,,,,,
0.019048,,0.632708,,,,,,,,,-1.322345,,,,,,,,,0.842674,,,,,,,,,0.108359,,,,,,,,,-0.611429,,,,,,,,,-0.572415,,,,,,,,,0.000000,,,,,,,,,-1.346045,,,,,,,,,-1.422728,,,,,,,,
0.028571,,0.766130,,,,,,,,,-1.278373,,,,,,,,,0.821213,,,,,,,,,0.118298,,,,,,,,,-0.738895,,,,,,,,,-0.903168,,,,,,,,,0.000000,,,,,,,,,-0.914041,,,,,,,,,-1.353326,,,,,,,,
0.038095,,0.818701,,,,,,,,,-1.187929,,,,,,,,,0.784072,,,,,,,,,0.227622,,,,,,,,,-0.719285,,,,,,,,,-1.257408,,,,,,,,,0.000000,,,,,,,,,-0.499423,,,,,,,,,-1.179762,,,,,,,,
0.047619,,0.836549,,,,,,,,,-1.049309,,,,,,,,,0.716892,,,,,,,,,0.384153,,,,,,,,,-0.604892,,,,,,,,,-1.564676,,,,,,,,,0.000000,,,,,,,,,-0.088370,,,,,,,,,-0.966184,,,,,,,,
0.057143,,0.806730,,,,,,,,,-0.842640,,,,,,,,,0.631473,,,,,,,,,0.590377,,,,,,,,,-0.369570,,,,,,,,,-1.793659,,,,,,,,,0.000000,,,,,,,,,0.330086,,,,,,,,,-0.699031,,,,,,,,
0.066667,,0.680182,,,,,,,,,-0.597831,,,,,,,,,0.509489,,,,,,,,,0.771755,,,,,,,,,-0.163662,,,,,,,,,-1.985457,,,,,,,,,0.000000,,,,,,,,,0.752877,,,,,,,,,-0.410623,,,,,,,,
