time,r,theta,phi,
56525.2,57.5019756182342,4.143695852289239,2.087761172429741,
56525.2,58.131079467011446,4.149249210242813,2.0915065438632054,
56525.2,58.75495979064236,4.154602503544895,2.095230944051658,
56525.2,59.26607376906285,4.138555357447412,2.127785622714473,
56525.2,59.438368921093385,4.133128476929283,2.1381038925061935,
56525.3,61.57737003153026,4.174208500287909,2.1096769121766066,
56525.3,61.22002123488687,4.17607360390085,2.1194762784477392,
56525.3,59.84847867740666,4.184864427712118,2.1604472698539072,
56525.3,59.69073127379158,4.169137604827473,2.1589910199000553,
56525.3,59.517511708739974,4.150517999177641,2.1572978013434736,
56525.3,59.84014120972643,4.180422103827013,2.148922906293841,
56525.4,59.97173751026395,4.191665658120731,2.1457025978686572,
56525.4,59.79117075287956,4.181505550582282,2.167544785433546,
56525.4,59.810314327881606,4.17585942992941,2.170361985714561,
56525.4,59.93841589498341,4.147911447822339,2.1831030040809347,
56525.4,59.18022220302996,4.147328316910254,2.1743699146270163,
56525.4,58.176809812845526,4.14632678941156,2.1623007747943666,
56525.5,57.182739528637484,4.142579971898799,2.1592345471039804,
56525.5,56.73729196921545,4.140886141915125,2.157905560902312,
56525.5,58.14813324604668,4.109785141840286,2.1451206634958293,
56525.5,57.986468249066526,4.110270738839303,2.1436388743911734,
56525.5,56.37507694008054,4.123744977508168,2.137391046701295,
56525.5,56.185939522268384,4.1205783221294485,2.1395340491624104,
56525.6,55.89304607909646,4.115592411242682,2.1428871584811877,
56525.6,55.04478721913638,4.085873102063209,2.1269620999386873,
56525.6,54.618444686753946,4.069831227085334,2.1180419119868215,
56525.6,54.08149498673276,4.0603851133511855,2.104014004271298,
56525.6,53.83768661448967,4.063251583285515,2.0995751547628965,
56525.7,51.90747634011887,4.099832042239178,2.0673799864669284,
56525.7,51.43027318613037,4.088693784564498,2.0538802586379177,
56525.7,50.62003654680625,4.068403332822172,2.0287543015586156,
56525.7,49.41090264304023,4.043627824208073,2.0128988655835567,
56525.7,48.67444812219241,4.027932745887238,2.002583625998163,
56525.7,47.408843056965644,4.013590401674939,1.94388028043131,
56525.8,47.15404224454146,4.012715196707985,1.9325835494924812,
56525.8,45.73980870095546,4.029603968329969,1.8857745714617475,
56525.8,44.98953656129389,4.0271175246747415,1.8685793834578142,
56525.8,43.450258917525446,4.021766911083647,1.8305530251167679,
56525.8,42.457877949798664,4.047826576835832,1.8223950044240562,
56525.8,41.75837520785501,4.067455985935924,1.816320707482709,
56525.8,40.71799847733186,4.085421520925603,1.7836078305295953,
56525.9,40.50653897829337,4.0880057116215,1.7766587417564048,
56525.9,39.85537981251716,4.047294169388216,1.7549984610303784,
56525.9,40.26458990229504,4.062951133127994,1.730421944628234,
56525.9,41.42017503584455,4.100629404087435,1.670429519631974,
56525.9,40.377000879213405,4.0749511142220545,1.652368791551663,
56525.9,39.543354688240605,4.052768412156963,1.6368478493983203,
56526.0,38.40446458421208,4.025595523003828,1.6210720778527967,
56526.0,38.130820867114835,4.018827213779948,1.6172321554557545,
56526.0,40.97537553214126,4.0598047595735025,1.6017955161211173,
56526.0,41.00904290519348,4.043515084526117,1.5985986551759601,
56526.0,41.17597600543307,3.9941987905608243,1.5894976414868294,
56526.1,39.784225517156926,3.981049878497868,1.5642610267506587,
56526.1,38.47597042310954,3.967454548534902,1.5383027995936458,
56526.1,40.17517392619477,3.97966643005653,1.539677562495271,
56526.1,40.678409506764154,3.983193540675116,1.5400626570212175,
56526.1,39.99478090951368,3.953762216877472,1.4977217830823162,
56526.1,40.14404189914115,3.946069773779585,1.4952462769944799,
56526.2,40.74053141528716,3.917759238098212,1.4867515337604835,
56526.2,40.40516303642394,3.877700259478841,1.4661634122099119,
56526.2,40.13746005915173,3.8321822432263772,1.4433885636917627,
56526.2,40.5201196938015,3.8334431490349803,1.4783649414085775,
56526.2,40.66029266987634,3.833866869065016,1.4907804089306926,
56526.2,40.362242256841974,3.7843445117740306,1.4443516989128904,
56526.3,40.260244658968475,3.7869969955853997,1.4430279952605862,
56526.3,39.8110349023986,3.800502113018515,1.4380312805481006,
56526.3,40.32895237915312,3.7856957488659937,1.4194591329982158,
56526.3,41.009537914977784,3.7671669028790435,1.3965414957024354,
56526.3,40.329421022375215,3.742660472312627,1.3935719656110823,
56526.3,40.0477627340155,3.731987933781819,1.3923121781807457,
56526.3,41.290496485268854,3.711385235070969,1.3259279125357128,
56526.4,41.08615581920508,3.703041722851042,1.3199139524225203,
56526.4,39.596407665342575,3.6536822038825307,1.2990036916114116,
56526.4,39.93882572134539,3.664343631682957,1.3050269729507333,
56526.4,40.449656364424165,3.6797324559244613,1.313579121930291,
56526.4,40.4050702263961,3.669796664464528,1.2961016367889326,
56526.4,40.387807566145504,3.6646733625478376,1.2872236602755756,
56526.5,40.901057443542946,3.670375214324263,1.3222869402429598,
56526.5,40.90081784023395,3.6666181096494768,1.324050759174859,
56526.5,40.50659329047556,3.6287572781761477,1.313948844198445,
56526.5,41.067383651749715,3.6327355860222466,1.3112404159303626,
