Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,
0.603774,,-0.036534,,,,,,,,,,0.041187,,,,,,,,,,-0.038795,,,,,,,,,,-0.047966,,,,,,,,,,0.084772,,,,,,,,,,-0.054515,,,,,,,,,,0.000000,,,,,,,,,,0.012569,,,,,,,,,,0.042063,,,,,,,,,
0.622642,,-0.055548,,,,,,,,,,0.037876,,,,,,,,,,-0.030105,,,,,,,,,,-0.034916,,,,,,,,,,0.077189,,,,,,,,,,-0.047737,,,,,,,,,,0.000000,,,,,,,,,,0.019066,,,,,,,,,,0.038815,,,,,,,,,
0.641509,,-0.068616,,,,,,,,,,0.034426,,,,,,,,,,-0.023865,,,,,,,,,,-0.024679,,,,,,,,,,0.048888,,,,,,,,,,-0.037635,,,,,,,,,,0.000000,,,,,,,,,,0.025488,,,,,,,,,,0.033643,,,,,,,,,
0.660377,,-0.074964,,,,,,,,,,0.031785,,,,,,,,,,-0.020733,,,,,,,,,,-0.019954,,,,,,,,,,0.015460,,,,,,,,,,-0.024405,,,,,,,,,,0.000000,,,,,,,,,,0.025763,,,,,,,,,,0.029524,,,,,,,,,
0.679245,,-0.077428,,,,,,,,,,0.030340,,,,,,,,,,-0.016876,,,,,,,,,,-0.010166,,,,,,,,,,0.001149,,,,,,,,,,-0.009284,,,,,,,,,,0.000000,,,,,,,,,,0.025878,,,,,,,,,,0.026453,,,,,,,,,
0.698113,,-0.072634,,,,,,,,,,0.029426,,,,,,,,,,-0.014923,,,,,,,,,,-0.007016,,,,,,,,,,-0.042851,,,,,,,,,,0.004011,,,,,,,,,,0.000000,,,,,,,,,,0.025926,,,,,,,,,,0.025010,,,,,,,,,
0.716981,,-0.063191,,,,,,,,,,0.029832,,,,,,,,,,-0.013558,,,,,,,,,,-0.000379,,,,,,,,,,-0.065172,,,,,,,,,,0.011246,,,,,,,,,,0.000000,,,,,,,,,,0.025772,,,,,,,,,,0.026403,,,,,,,,,
0.735849,,-0.055979,,,,,,,,,,0.030366,,,,,,,,,,-0.015395,,,,,,,,,,0.001309,,,,,,,,,,-0.071153,,,,,,,,,,0.020370,,,,,,,,,,0.000000,,,,,,,,,,0.025506,,,,,,,,,,0.029336,,,,,,,,,
0.754717,,-0.046171,,,,,,,,,,0.031258,,,,,,,,,,-0.016952,,,,,,,,,,-0.006341,,,,,,,,,,-0.075211,,,,,,,,,,0.031645,,,,,,,,,,0.000000,,,,,,,,,,0.025172,,,,,,,,,,0.032116,,,,,,,,,
0.773585,,-0.031244,,,,,,,,,,0.030536,,,,,,,,,,-0.017773,,,,,,,,,,-0.019616,,,,,,,,,,-0.078735,,,,,,,,,,0.042008,,,,,,,,,,0.000000,,,,,,,,,,0.024699,,,,,,,,,,0.033778,,,,,,,,,
