Clock Time (s),Elapsed Time (s),ar,atheta,aphi,gx,gy,gz,mx,my,mz,
53205.1,73.40000000000146,0.90160967164289,5.745141099353962,0.9286335449368618,-0.17,-0.23,-0.14,7.64,5.78,-42.83,
53205.2,73.5,1.0311643903859364,5.742765806909002,0.9135239029592575,-0.14,-0.21,0.08,7.58,4.43,-43.16,
53205.3,73.60000000000582,0.9106591019695569,5.718615913511487,0.8944853349160107,-0.01,0.03,0.27,6.60,4.61,-43.05,
53205.4,73.70000000000437,0.9468896451012652,5.6802025508646485,0.8981057450895518,0.15,-0.10,0.05,6.27,3.39,-42.49,
53205.5,73.80000000000291,0.9246621004453465,5.6989140295986775,0.9337647209110725,0.14,-0.07,-0.05,6.18,3.82,-42.68,
53205.6,73.90000000000146,0.9012213934433647,5.777393991585183,0.969273473312564,0.05,-0.47,-0.10,4.05,3.22,-44.67,
53205.7,74.0,0.9862048468751307,5.841392141662142,0.9791919276760732,-0.04,0.15,0.03,0.60,2.59,-44.96,
53205.8,74.10000000000582,1.0413932974625868,5.7138721160789245,1.0256583401388024,-0.29,-0.15,0.30,3.10,4.23,-43.40,
53205.9,74.20000000000437,0.9654014708917735,5.701805123374687,1.050424854565545,-0.43,0.26,0.36,2.51,6.47,-41.15,
53206.0,74.30000000000291,0.944986772394196,5.591528685326386,1.0744713844947031,-0.56,0.19,0.55,4.17,7.64,-41.48,
53206.1,74.40000000000146,0.9802040603874278,5.579571524400134,1.082309715401209,-0.64,0.31,0.66,3.62,10.02,-40.83,
53206.2,74.5,0.9750384607798812,5.340370271055547,1.1815705551090754,-0.60,0.44,0.72,4.31,12.30,-41.17,
53206.3,74.60000000000582,0.9506313691436865,5.26255476073787,1.1824097106510585,-0.65,0.38,0.79,7.86,15.64,-39.30,
53206.4,74.70000000000437,0.9743715923609432,5.12294642842654,1.2578210377703218,-0.62,0.26,0.91,11.06,15.02,-39.81,
53206.5,74.80000000000291,0.937923237797209,5.044815285768787,1.2452192498744232,-0.77,0.01,0.90,11.68,17.44,-37.15,
53206.6,74.90000000000146,0.9714936952960631,4.996614495951069,1.2676658631448179,-0.67,-0.03,0.74,14.81,19.37,-35.44,
53206.7,75.0,0.9626006440887104,4.882764091047306,1.3721097087050924,-0.69,0.05,0.53,14.67,20.04,-33.93,
53206.8,75.10000000000582,1.0940749517286281,4.795530212273131,1.4332610102671326,-0.44,0.19,0.48,16.51,22.45,-30.62,
53206.9,75.20000000000437,1.0124722218411721,4.761853548986281,1.5213921609544094,-0.18,0.22,0.41,17.56,22.55,-31.10,
53207.0,75.30000000000291,0.9133454987024352,4.767278842978843,1.505056429651611,0.02,0.10,0.32,19.62,22.21,-29.76,
53207.1,75.40000000000146,0.9220086767487604,4.72325811756196,1.505674999438701,0.19,-0.11,-0.10,20.17,21.69,-28.58,
53207.2,75.5,0.9873702446397703,4.722592707878643,1.4489601700125787,0.42,-0.19,-0.35,20.88,22.14,-30.14,
53207.3,75.60000000000582,0.9833107342035883,4.794676970159371,1.4279347147336743,0.61,-0.04,-0.48,17.79,19.47,-31.71,
53207.4,75.70000000000437,0.9892421341612982,4.825308641137292,1.4083427354220506,0.86,-0.24,-0.59,17.04,18.78,-32.78,
53207.5,75.80000000000291,0.9511046209539726,4.879359149409618,1.2498942527797336,1.05,-0.23,-0.79,14.14,17.41,-37.13,
53207.6,75.90000000000146,0.9869650449737316,5.0307265787497935,1.2191004040865505,1.06,-0.11,-0.73,11.57,14.04,-38.38,
53207.7,76.0,0.9618211892030659,5.20305703857276,1.0362505848238914,0.88,-0.44,-0.66,11.19,10.59,-40.68,
53207.8,76.10000000000582,0.9246621004453465,5.338435502878221,1.0501060846520576,0.56,-0.20,-0.63,9.69,7.15,-41.15,
53207.9,76.20000000000437,1.0197058399362045,5.4409378964493005,1.0242289764684753,0.41,-0.72,-0.53,5.58,4.57,-42.14,
53208.0,76.30000000000291,0.9530477427705287,5.479931898642586,0.981097608668837,0.27,-0.07,-0.33,6.10,1.85,-43.33,
53208.1,76.40000000000146,0.9541488353501251,5.600868752304838,1.0436534098541792,0.22,-0.21,-0.26,4.32,3.32,-43.22,
53208.2,76.5,0.9758073580374356,5.573273688716061,1.0447151336102252,0.13,-0.14,-0.07,3.33,0.61,-43.30,
53208.3,76.60000000000582,0.9471536306217698,5.602664082512372,1.027057149171618,0.00,-0.05,-0.01,3.70,0.48,-44.34,
53208.4,76.70000000000437,0.899499861033897,5.590116478513737,1.0210011658218099,-0.00,-0.19,-0.19,3.96,1.77,-43.78,
53208.5,76.80000000000291,0.9964436762808022,5.630338676078812,1.0334941252773882,-0.03,0.01,-0.14,1.99,0.13,-44.34,
53208.6,76.90000000000146,0.9558765610684259,5.668522355257421,1.0567607530385321,-0.04,-0.06,-0.05,2.87,0.36,-44.98,
53208.7,77.0,0.9246080250571049,5.62437927106211,1.01224965053764,0.09,-0.00,-0.04,2.61,2.60,-45.64,
53208.8,77.10000000000582,0.9870157040290697,5.617895879349051,0.99189601546773,0.03,-0.19,-0.20,2.68,0.13,-46.35,
53208.9,77.20000000000437,0.9704122835166504,5.701805123374687,1.0414838496185732,0.06,-0.09,-0.10,2.49,1.33,-44.84,
53209.0,77.30000000000291,1.0265476121447072,5.7233883876181615,1.0396149975991333,-0.11,-0.45,0.21,1.20,1.07,-45.38,
53209.1,77.40000000000146,0.9280624978954811,5.659985977245521,1.0145740929188845,-0.08,0.21,0.23,1.03,1.52,-43.94,
53209.2,77.5,0.9417536832951597,5.654389020764153,1.048272328706046,0.07,0.21,0.37,0.98,1.70,-43.59,
53209.3,77.60000000000582,0.8863972021616493,5.583292437460343,0.998554657659303,0.29,0.18,0.37,3.70,0.82,-43.00,
53209.4,77.70000000000437,0.9041017641836564,5.602168296732469,0.9714585524481508,0.37,0.15,0.36,3.70,-0.89,-44.34,
53209.5,77.80000000000291,0.9132360045464699,5.554330580726956,0.965015975202553,0.43,-0.04,0.48,3.32,-1.76,-44.36,
53209.6,77.90000000000146,0.8519976525789258,5.519522850623931,0.8690639893455983,0.56,0.01,0.49,3.38,-3.57,-42.89,
53209.7,78.0,0.8457541013793548,5.46331804278263,0.8151234852986713,0.96,0.11,0.71,4.05,-8.05,-41.68,
53209.8,78.10000000000582,0.89,5.394705535259438,0.7682883984486306,1.48,0.10,0.83,2.98,-10.86,-43.67,
53209.9,78.20000000000437,0.8837986195961158,5.549024311185557,0.6749777750865338,1.75,0.32,0.87,4.22,-17.83,-41.15,
53210.0,78.30000000000291,0.8764131445842195,5.729890981857293,0.47347042240335707,1.75,0.21,0.78,3.87,-25.29,-38.74,
53210.1,78.40000000000146,0.9066973034039529,6.195177933651846,0.38595517997210443,1.67,0.38,0.50,3.99,-33.66,-35.10,
53210.2,78.5,0.9308598175880191,0.2551823906208184,0.25821216677964215,1.25,0.45,0.30,4.39,-38.87,-30.60,
53210.3,78.60000000000582,0.9347192091746056,0.5880026035475676,0.27340903454860455,0.65,0.18,0.12,4.94,-42.15,-26.25,
53210.4,78.70000000000437,0.9339700209321496,0.7437555842988599,0.3722608229552092,0.48,0.29,0.15,5.24,-45.21,-23.72,
53210.5,78.80000000000291,1.0018981984213766,0.9907935525872157,0.35334902398063583,-0.06,-0.15,-0.08,4.01,-46.51,-24.59,
53210.6,78.90000000000146,0.8958794561770015,0.5585993153435624,0.3214181535422979,-0.17,0.02,-0.21,5.06,-46.01,-24.75,
53210.7,79.0,0.9317188417113824,0.6696389456766376,0.3347546794792863,-0.04,0.31,-0.08,6.27,-45.55,-25.07,
53210.8,79.10000000000582,0.8584287972802402,0.8253768505207384,0.20758280975870785,-0.02,0.46,-0.13,6.92,-46.80,-25.16,
53210.9,79.20000000000437,0.9148223871331528,0.6435011087932843,0.2767981586319901,0.01,0.19,0.02,6.61,-45.21,-25.07,
53211.0,79.30000000000291,0.9610931276416453,0.6578886051822102,0.29347867535331706,-0.03,-0.10,0.04,6.44,-46.26,-24.90,
