Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,aclx 11,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,acly 11,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,aclz 11,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyrx 11,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyry 11,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,gyrz 11,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magr 11,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magphi 11,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,magtheta 11,
0.666667,,0.071073,,,,,,,,,,,0.063211,,,,,,,,,,,-0.010685,,,,,,,,,,,-0.027991,,,,,,,,,,,0.039847,,,,,,,,,,,0.008726,,,,,,,,,,,0.000000,,,,,,,,,,,0.067215,,,,,,,,,,,-0.070394,,,,,,,,,,
0.686275,,0.064840,,,,,,,,,,,0.057859,,,,,,,,,,,-0.008988,,,,,,,,,,,-0.037825,,,,,,,,,,,0.043480,,,,,,,,,,,0.002183,,,,,,,,,,,0.000000,,,,,,,,,,,0.067848,,,,,,,,,,,-0.069171,,,,,,,,,,
0.725490,,0.060221,,,,,,,,,,,0.054919,,,,,,,,,,,-0.005481,,,,,,,,,,,-0.047563,,,,,,,,,,,0.048395,,,,,,,,,,,-0.007474,,,,,,,,,,,0.000000,,,,,,,,,,,0.068056,,,,,,,,,,,-0.070440,,,,,,,,,,
0.745098,,0.057874,,,,,,,,,,,0.050956,,,,,,,,,,,0.004187,,,,,,,,,,,-0.057783,,,,,,,,,,,0.055020,,,,,,,,,,,-0.018689,,,,,,,,,,,0.000000,,,,,,,,,,,0.068425,,,,,,,,,,,-0.076638,,,,,,,,,,
0.764706,,0.051050,,,,,,,,,,,0.044059,,,,,,,,,,,0.007399,,,,,,,,,,,-0.068292,,,,,,,,,,,0.060790,,,,,,,,,,,-0.028658,,,,,,,,,,,0.000000,,,,,,,,,,,0.057936,,,,,,,,,,,-0.068421,,,,,,,,,,
0.784314,,0.048551,,,,,,,,,,,0.040201,,,,,,,,,,,0.017222,,,,,,,,,,,-0.077354,,,,,,,,,,,0.077673,,,,,,,,,,,-0.038315,,,,,,,,,,,0.000000,,,,,,,,,,,0.058226,,,,,,,,,,,-0.072546,,,,,,,,,,
0.803922,,0.039471,,,,,,,,,,,0.031979,,,,,,,,,,,0.032981,,,,,,,,,,,-0.095842,,,,,,,,,,,0.111090,,,,,,,,,,,-0.058799,,,,,,,,,,,0.000000,,,,,,,,,,,0.057464,,,,,,,,,,,-0.071452,,,,,,,,,,
0.823529,,0.034256,,,,,,,,,,,0.025140,,,,,,,,,,,0.024164,,,,,,,,,,,-0.078029,,,,,,,,,,,0.078741,,,,,,,,,,,-0.044546,,,,,,,,,,,0.000000,,,,,,,,,,,0.037186,,,,,,,,,,,-0.050613,,,,,,,,,,
0.843137,,0.024953,,,,,,,,,,,0.017357,,,,,,,,,,,0.018035,,,,,,,,,,,-0.063953,,,,,,,,,,,0.068483,,,,,,,,,,,-0.033019,,,,,,,,,,,0.000000,,,,,,,,,,,0.026499,,,,,,,,,,,-0.036092,,,,,,,,,,
0.862745,,0.020290,,,,,,,,,,,0.011666,,,,,,,,,,,0.015642,,,,,,,,,,,-0.053830,,,,,,,,,,,0.061859,,,,,,,,,,,-0.031462,,,,,,,,,,,0.000000,,,,,,,,,,,0.015416,,,,,,,,,,,-0.027583,,,,,,,,,,
