time,mx,my,mz
10.3025,29.380272,-2.096451,-22.986687
10.327392,29.380272,-2.365532,-22.790497
10.354464,28.99617,-2.58416,-23.10112
10.380393,28.879269,-2.870056,-23.215561
10.406001,28.879269,-2.533707,-23.575226
10.432616,28.912666,-2.634613,-23.804108
10.457347,28.745667,-2.466434,-24.131073
10.483278,28.829163,-2.180542,-23.983932
10.516207,28.528564,-1.709652,-24.376297
10.533422,28.528564,-1.440571,-24.539787
10.562039,28.528564,-1.306034,-24.834061
10.587426,28.16116,-0.700607,-24.964851
10.612814,27.593349,-0.532433,-25.553398
10.63883,27.075642,-0.381077,-26.060211
10.666877,26.29073,-0.566071,-26.665108
10.689466,25.188515,-0.700607,-27.515244
10.715653,24.136402,-0.851963,-28.250923
10.742091,23.067593,-0.885601,-29.00296
10.76735,21.865173,-1.020142,-29.722298
10.793389,20.479053,-0.90242,-30.359894
10.820822,18.775623,-0.700611,-30.915756
10.845661,17.272602,-0.90242,-31.733185
10.871187,15.702778,-1.036957,-32.25634
10.896632,13.949257,-1.154678,-32.795845
10.921852,11.945229,-1.087406,-33.580582
10.9488,10.49231,-0.835144,-33.629631
10.974946,9.005989,-0.381077,-33.776779
10.99934,7.853676,0.140259,-33.989304
11.026282,7.33596,0.459793,-33.842171
11.051065,7.202354,0.627968,-33.809464
11.076924,7.302559,0.459793,-34.071053
11.103166,7.436157,0.22435,-33.940262
11.129998,7.436157,-0.044731,-33.940262
11.15452,7.386063,0.005722,-34.2509
11.180483,7.50296,-0.212906,-33.744087
11.206817,7.469566,-0.112,-33.972969
11.232781,7.352661,-0.263351,-34.08741
11.257984,7.569763,-0.28017,-33.940277
11.283398,7.569763,-0.414715,-33.711395
11.31043,7.669968,-0.414715,-33.940277
11.335827,7.920464,-0.3979,-33.662346
11.362029,7.920464,-0.3979,-33.793137
11.38817,8.137573,-0.347446,-34.07106
11.413781,8.337975,-0.481983,-33.874886
11.439714,8.404778,-0.381077,-34.038376
11.465191,8.204376,-0.481979,-34.005684
11.491277,8.571785,-0.515617,-33.842194
11.517284,8.471581,-0.582886,-33.613312
11.542892,8.655289,-0.633343,-34.022026
11.568716,8.838989,-0.919235,-33.776802
11.601369,9.0728,-1.322857,-33.776802
11.619336,9.056099,-1.608749,-33.727753
11.646727,9.540405,-2.029186,-33.74411
11.67433,9.957909,-2.012367,-33.727768
11.698753,10.625916,-2.315079,-33.727768
11.724161,11.544426,-2.500072,-33.449837
11.750994,12.830345,-2.58416,-33.433487
11.776535,13.932564,-2.920509,-33.106514
11.801911,15.452286,-3.610023,-32.468918
11.827218,17.088905,-3.912735,-31.847672
11.8539,18.976032,-3.996826,-31.210075
11.879684,20.813065,-4.265903,-30.196465
11.9065,22.566586,-3.946373,-29.329987
11.93184,24.13641,-3.879105,-28.218277
11.957697,25.739632,-3.576389,-26.943085
11.983299,26.975449,-3.643661,-26.027557
12.00894,27.860561,-3.52594,-25.193771
12.036191,28.845875,-3.710934,-24.163803
12.060445,29.614086,-3.542755,-23.771431
12.087438,29.61409,-3.509117,-23.738739
12.113361,29.664188,-3.391392,-23.558907
12.138096,29.730988,-3.122314,-23.68969
12.165211,29.664188,-2.920502,-23.983963
12.189653,29.547287,-2.937321,-23.934921
12.215785,29.597382,-3.021408,-23.918571
12.242539,29.39698,-2.785965,-24.049362
12.267741,29.38028,-3.004593,-23.738739
12.29352,29.179878,-3.139133,-23.738739
12.320763,28.929379,-3.021408,-23.755096
12.345308,29.029579,-3.189587,-23.787796
12.372854,29.296783,-3.155949,-23.787796
12.398781,29.196583,-3.088684,-23.722404
12.422573,29.096386,-3.055046,-23.624313
12.449301,29.229984,-3.122318,-23.591606
12.475379,29.012878,-3.071865,-23.444473
12.500623,28.779079,-3.240044,-23.31369
12.527026,28.812481,-3.172771,-23.411789
12.553089,29.04628,-3.071869,-23.47718
12.577903,28.87928,-2.970963,-23.31369
12.605815,28.779079,-2.735519,-23.346382
12.630491,28.628773,-2.752335,-23.199234
12.655401,28.545273,-2.769154,-23.248283
12.687588,28.495174,-2.819611,-23.133842
12.707242,28.829178,-2.617798,-23.428116
12.733307,28.979481,-2.634617,-23.738754
12.761175,29.129787,-2.550529,-23.918587
12.785394,29.096386,-2.752338,-24.082077
12.812126,28.829178,-2.819611,-24.114761
