time,aax,aay,aaz,ggx,ggy,ggz,mmx,mmy,mmz,
14.4,0.504746,-3.353648,-8.517228,-0.083825,-0.191593,0.020675,20.779659,-2.281425,-29.509773,
14.5,1.334815,-3.957008,-8.102268,-0.027318,0.016649,0.026862,26.791748,-2.281425,-25.716904,
14.6,1.882957,-4.163665,-8.36938,-0.158219,-0.088647,0.056829,28.428364,-2.483231,-24.605209,
14.7,1.668818,-4.192098,-6.607634,-0.158903,-0.202222,0.057911,28.779072,-1.591911,-24.196487,
14.8,6.67198,-4.604663,-8.806637,-0.407419,-0.325873,0.095705,28.779072,-2.062805,-23.738724,
14.9,4.131791,-3.506284,-4.836909,-0.618227,-0.286037,0.200484,28.628773,-2.382332,-24.147446,
15.0,5.723693,-4.347128,-6.156161,-1.704897,-0.141737,0.239457,28.127766,-2.483238,-24.474411,
15.1,6.583242,-4.387681,-5.743745,-2.508638,0.173816,0.442185,28.39497,-2.214165,-24.572502,
15.2,6.593268,-4.399503,-5.755567,-2.132297,0.76297,0.149865,28.31147,-1.591919,-24.58886,
15.3,6.675721,-4.400849,-5.823505,-0.352782,-0.189263,0.196679,27.977463,-1.154667,-24.883133,
15.4,6.736626,-3.935011,-5.878723,0.012348,-0.009789,-0.004654,27.309448,-0.280163,-25.700577,
15.5,6.417737,-4.442001,-6.204646,0.199274,0.058875,-0.102397,25.87323,-0.313797,-26.550705,
15.6,5.346443,-4.168454,-6.223052,-0.173748,-0.117564,0.03217,21.314064,-0.330612,-29.313629,
15.7,5.454934,-3.886227,-8.347533,0.000291,0.023242,-0.038624,13.832359,-0.599701,-32.125603,
15.8,3.950574,-4.158129,-8.379257,0.126478,0.067798,-0.058114,7.803581,0.493439,-34.071091,
15.9,-0.363483,-2.871947,-2.188827,0.465506,0.298233,-0.13068,6.317253,1.048416,-33.989334,
16.0,1.490444,-3.227349,-9.29567,1.096229,0.288085,-0.333696,6.751457,0.678436,-33.989334,
16.1,-0.464941,-3.078006,-8.268222,1.586835,-0.113902,-0.312613,6.751457,0.342087,-34.12011,
16.2,-0.036812,-3.80946,-8.940119,1.762131,0.025082,-0.268649,7.319267,0.543896,-34.152817,
16.3,0.194237,-3.332997,-8.843599,1.602726,0.059657,-0.389716,7.870369,0.190731,-33.646004,
16.4,0.470328,-3.673285,-9.017334,0.324809,0.257369,-0.248235,8.504967,-0.717407,-33.972969,
16.5,0.470627,-3.744216,-8.765485,-0.133178,-0.161078,0.039285,10.041389,-2.062805,-33.711395,
16.6,0.937812,-3.561352,-8.452731,-0.048823,-0.055601,0.008005,13.949242,-2.668228,-32.370819,
16.7,1.647569,-4.088096,-8.630358,-0.001364,0.020892,0.003524,20.879848,-2.785954,-30.425339,
