Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,
0.421053,,-0.007140,,,,,,,,,-0.068999,,,,,,,,,0.076079,,,,,,,,,-0.046099,,,,,,,,,0.052731,,,,,,,,,-0.010360,,,,,,,,,0.000000,,,,,,,,,0.058641,,,,,,,,,0.029025,,,,,,,,
0.434211,,-0.012040,,,,,,,,,-0.073901,,,,,,,,,0.100805,,,,,,,,,-0.025249,,,,,,,,,0.031615,,,,,,,,,-0.006951,,,,,,,,,0.000000,,,,,,,,,0.061329,,,,,,,,,0.034551,,,,,,,,
0.447368,,-0.013337,,,,,,,,,-0.075604,,,,,,,,,0.121082,,,,,,,,,0.003881,,,,,,,,,0.033877,,,,,,,,,-0.004299,,,,,,,,,0.000000,,,,,,,,,0.062585,,,,,,,,,0.035920,,,,,,,,
0.460526,,-0.022557,,,,,,,,,-0.071504,,,,,,,,,0.136354,,,,,,,,,0.027393,,,,,,,,,0.031615,,,,,,,,,0.017671,,,,,,,,,0.000000,,,,,,,,,0.058479,,,,,,,,,0.036732,,,,,,,,
0.473684,,-0.024559,,,,,,,,,-0.062609,,,,,,,,,0.124328,,,,,,,,,0.048686,,,,,,,,,-0.006093,,,,,,,,,0.041155,,,,,,,,,0.000000,,,,,,,,,0.051736,,,,,,,,,0.035640,,,,,,,,
0.944009,,-0.023807,,,,,,,,,-0.051399,,,,,,,,,0.116142,,,,,,,,,0.065543,,,,,,,,,-0.020421,,,,,,,,,0.056685,,,,,,,,,0.000000,,,,,,,,,0.043877,,,,,,,,,0.032960,,,,,,,,
0.949608,,-0.023965,,,,,,,,,-0.038763,,,,,,,,,0.091240,,,,,,,,,0.081218,,,,,,,,,-0.041035,,,,,,,,,0.055170,,,,,,,,,0.000000,,,,,,,,,0.034568,,,,,,,,,0.026970,,,,,,,,
0.955207,,-0.021819,,,,,,,,,-0.022708,,,,,,,,,0.060908,,,,,,,,,0.089203,,,,,,,,,-0.060140,,,,,,,,,0.052519,,,,,,,,,0.000000,,,,,,,,,0.024224,,,,,,,,,0.018176,,,,,,,,
0.960806,,-0.017537,,,,,,,,,-0.007493,,,,,,,,,0.030913,,,,,,,,,0.088316,,,,,,,,,-0.060391,,,,,,,,,0.047216,,,,,,,,,0.000000,,,,,,,,,0.013135,,,,,,,,,0.008614,,,,,,,,
0.966405,,-0.013570,,,,,,,,,0.007052,,,,,,,,,-0.005734,,,,,,,,,0.078556,,,,,,,,,-0.066927,,,,,,,,,0.046079,,,,,,,,,0.000000,,,,,,,,,0.001899,,,,,,,,,-0.002916,,,,,,,,
0.972004,,-0.005503,,,,,,,,,0.021413,,,,,,,,,-0.042740,,,,,,,,,0.059924,,,,,,,,,-0.085781,,,,,,,,,0.045701,,,,,,,,,0.000000,,,,,,,,,-0.006346,,,,,,,,,-0.013724,,,,,,,,
0.977604,,0.008464,,,,,,,,,0.030734,,,,,,,,,-0.059910,,,,,,,,,0.042919,,,,,,,,,-0.080250,,,,,,,,,0.024110,,,,,,,,,0.000000,,,,,,,,,-0.010473,,,,,,,,,-0.023158,,,,,,,,
0.983203,,0.020373,,,,,,,,,0.035869,,,,,,,,,-0.060775,,,,,,,,,0.026506,,,,,,,,,-0.062151,,,,,,,,,0.008958,,,,,,,,,0.000000,,,,,,,,,-0.011465,,,,,,,,,-0.031206,,,,,,,,
0.988802,,0.028118,,,,,,,,,0.039289,,,,,,,,,-0.047731,,,,,,,,,0.012014,,,,,,,,,-0.052598,,,,,,,,,-0.001648,,,,,,,,,0.000000,,,,,,,,,-0.010846,,,,,,,,,-0.039171,,,,,,,,
0.994401,,0.035620,,,,,,,,,0.043008,,,,,,,,,-0.028434,,,,,,,,,0.001368,,,,,,,,,-0.039778,,,,,,,,,-0.002784,,,,,,,,,0.000000,,,,,,,,,-0.008666,,,,,,,,,-0.044219,,,,,,,,
1.000000,,0.043572,,,,,,,,,0.043419,,,,,,,,,-0.000036,,,,,,,,,-0.005582,,,,,,,,,-0.029974,,,,,,,,,0.006307,,,,,,,,,0.000000,,,,,,,,,-0.004919,,,,,,,,,-0.047622,,,,,,,,
0.000000,,,0.047357,,,,,,,,,0.046633,,,,,,,,,-0.006247,,,,,,,,,0.017042,,,,,,,,,0.011504,,,,,,,,,0.036989,,,,,,,,,0.000000,,,,,,,,,-0.005845,,,,,,,,,-0.047996,,,,,,,
0.031250,,,0.043508,,,,,,,,,0.050984,,,,,,,,,-0.032529,,,,,,,,,0.019704,,,,,,,,,0.021811,,,,,,,,,0.043049,,,,,,,,,0.000000,,,,,,,,,-0.012102,,,,,,,,,-0.045744,,,,,,,
0.062500,,,0.038440,,,,,,,,,0.055042,,,,,,,,,-0.049391,,,,,,,,,0.015711,,,,,,,,,0.030609,,,,,,,,,0.038125,,,,,,,,,0.000000,,,,,,,,,-0.020903,,,,,,,,,-0.043323,,,,,,,
0.093750,,,0.030688,,,,,,,,,0.056886,,,,,,,,,-0.049923,,,,,,,,,0.005360,,,,,,,,,0.046446,,,,,,,,,0.030928,,,,,,,,,0.000000,,,,,,,,,-0.027857,,,,,,,,,-0.040532,,,,,,,
0.125000,,,0.024387,,,,,,,,,0.056464,,,,,,,,,-0.050913,,,,,,,,,-0.011054,,,,,,,,,0.030609,,,,,,,,,0.028277,,,,,,,,,0.000000,,,,,,,,,-0.030309,,,,,,,,,-0.036488,,,,,,,
0.156250,,,0.020830,,,,,,,,,0.052042,,,,,,,,,-0.045140,,,,,,,,,-0.032051,,,,,,,,,0.044184,,,,,,,,,0.008201,,,,,,,,,0.000000,,,,,,,,,-0.029052,,,,,,,,,-0.033079,,,,,,,
0.187500,,,0.015961,,,,,,,,,0.044422,,,,,,,,,-0.033737,,,,,,,,,-0.053788,,,,,,,,,0.054742,,,,,,,,,-0.008087,,,,,,,,,0.000000,,,,,,,,,-0.022999,,,,,,,,,-0.028273,,,,,,,
0.218750,,,0.006765,,,,,,,,,0.031336,,,,,,,,,-0.029112,,,,,,,,,-0.075525,,,,,,,,,0.048206,,,,,,,,,-0.017178,,,,,,,,,0.000000,,,,,,,,,-0.014819,,,,,,,,,-0.018423,,,,,,,
