Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,
0.700000,,,,-0.736282,,,,,,-0.803766,,,,,,1.092573,,,,,,-1.461233,,,,,,1.493237,,,,,,-0.965646,,,,,,0.000000,,,,,,0.618465,,,,,,0.572335,,,
0.800000,,,,-0.862046,,,,,,-1.108257,,,,,,0.881681,,,,,,-1.324268,,,,,,1.520312,,,,,,-0.818779,,,,,,0.000000,,,,,,0.825352,,,,,,0.754170,,,
0.900000,,,,-1.010755,,,,,,-1.350062,,,,,,0.933518,,,,,,-1.079005,,,,,,1.254981,,,,,,-0.500567,,,,,,0.000000,,,,,,0.937090,,,,,,0.930911,,,
1.000000,,,,-1.122280,,,,,,-1.522266,,,,,,0.944791,,,,,,-0.744555,,,,,,1.027554,,,,,,-0.214993,,,,,,0.000000,,,,,,1.026103,,,,,,1.045835,,,
1.100000,,,,-1.220566,,,,,,-1.620679,,,,,,1.114863,,,,,,-0.327289,,,,,,0.756808,,,,,,0.168493,,,,,,0.000000,,,,,,1.031063,,,,,,1.146002,,,
1.200000,,,,-1.368585,,,,,,-1.653954,,,,,,1.345323,,,,,,0.233312,,,,,,0.096187,,,,,,0.478546,,,,,,0.000000,,,,,,0.989000,,,,,,1.238178,,,
1.300000,,,,-1.427836,,,,,,-1.551490,,,,,,0.937709,,,,,,0.809840,,,,,,-0.651072,,,,,,0.894669,,,,,,0.000000,,,,,,0.937788,,,,,,1.253649,,,
1.400000,,,,-1.324177,,,,,,-1.333350,,,,,,0.951437,,,,,,1.265329,,,,,,-1.062607,,,,,,1.212881,,,,,,0.000000,,,,,,0.823237,,,,,,1.155693,,,
1.500000,,,,-1.205259,,,,,,-1.059921,,,,,,0.796357,,,,,,1.663484,,,,,,-1.360428,,,,,,1.310792,,,,,,0.000000,,,,,,0.651571,,,,,,1.003661,,,
1.600000,,,,-1.043015,,,,,,-0.706969,,,,,,0.543277,,,,,,1.994748,,,,,,-1.918165,,,,,,1.204722,,,,,,0.000000,,,,,,0.437687,,,,,,0.791430,,,
1.700000,,,,-0.825401,,,,,,-0.316604,,,,,,0.108441,,,,,,2.080750,,,,,,-2.048123,,,,,,1.066014,,,,,,0.000000,,,,,,0.215232,,,,,,0.501076,,,
1.800000,,,,-0.612319,,,,,,0.070188,,,,,,-0.460862,,,,,,1.937414,,,,,,-1.999389,,,,,,0.894669,,,,,,0.000000,,,,,,-0.006861,,,,,,0.224591,,,
1.900000,,,,-0.371788,,,,,,0.414978,,,,,,-0.955137,,,,,,1.673039,,,,,,-2.113102,,,,,,0.682528,,,,,,0.000000,,,,,,-0.199469,,,,,,-0.086879,,,
2.000000,,,,-0.014875,,,,,,0.696268,,,,,,-1.484674,,,,,,1.243032,,,,,,-2.053538,,,,,,0.519342,,,,,,0.000000,,,,,,-0.294435,,,,,,-0.389313,,,
2.100000,,,,0.321444,,,,,,0.880895,,,,,,-1.497668,,,,,,0.758876,,,,,,-1.598684,,,,,,0.184812,,,,,,0.000000,,,,,,-0.325079,,,,,,-0.642119,,,
2.200000,,,,0.553029,,,,,,0.962554,,,,,,-1.439421,,,,,,0.379833,,,,,,-1.262959,,,,,,-0.125241,,,,,,0.000000,,,,,,-0.312130,,,,,,-0.813314,,,
2.300000,,,,0.732250,,,,,,0.983697,,,,,,-1.191093,,,,,,0.019902,,,,,,-0.927234,,,,,,-0.157878,,,,,,0.000000,,,,,,-0.273375,,,,,,-0.966389,,,
0.000000,,,,,0.283302,,,,,,0.942921,,,,,,0.014395,,,,,,-0.757296,,,,,,1.319960,,,,,,0.021626,,,,,,0.000000,,,,,,-0.395875,,,,,,-0.504970,,
0.100000,,,,,0.083230,,,,,,0.805311,,,,,,0.381356,,,,,,-1.008930,,,,,,1.319960,,,,,,-0.378178,,,,,,0.000000,,,,,,-0.361313,,,,,,-0.365618,,
