Time,Column,Value,Is Positive Peak
40141.100000,magr,-0.013194,1
40141.100000,magphi,0.007392,0
40141.200000,aclx,0.022830,0
40141.200000,magr,-0.015666,0
40141.300000,aclx,0.022936,1
40141.300000,gyry,0.000652,0
40141.300000,gyrz,0.008818,0
40141.500000,gyrz,0.009795,1
40141.600000,magr,-0.000999,1
40141.700000,gyry,0.008366,1
40141.800000,gyry,0.008291,0
40141.800000,magr,-0.006914,0
40141.900000,aclz,-0.003126,1
40141.900000,gyrx,-0.019487,0
40142.000000,gyrz,0.004311,0
40142.100000,gyrz,0.004613,1
40142.300000,aclz,-0.014044,0
40142.300000,gyry,0.011579,1
40142.300000,gyrz,0.003436,0
40142.500000,gyrz,0.005565,1
40142.800000,aclx,0.009274,0
40142.800000,acly,-0.036958,0
40142.800000,gyrz,0.002507,0
40142.800000,magr,-0.004342,1
40142.800000,magtheta,0.016848,1
40142.900000,aclz,-0.004192,1
40142.900000,gyrz,0.002892,1
40142.900000,magr,-0.007216,0
40143.000000,gyry,-0.010682,0
40143.000000,magphi,0.041802,1
40143.100000,gyry,-0.008842,1
40143.200000,gyrz,-0.000723,0
40143.300000,gyrx,0.015083,1
40143.300000,gyry,-0.012050,0
40143.300000,gyrz,-0.000486,1
40143.400000,gyrz,-0.001243,0
40143.500000,aclz,-0.017282,0
40143.700000,gyry,-0.008564,1
40143.700000,gyrz,-0.000011,1
40143.800000,gyrz,-0.000495,0
40143.900000,gyry,-0.009665,0
40144.000000,magr,0.001817,1
40144.100000,gyrx,0.007380,0
40144.200000,gyrz,0.001234,1
40144.300000,aclz,-0.009741,1
40144.300000,gyrz,0.001087,0
40144.400000,gyry,-0.005431,1
40144.500000,gyry,-0.006742,0
40144.600000,gyrx,0.009640,1
40144.800000,magr,-0.004751,0
40144.900000,aclx,0.042996,1
40144.900000,gyrz,0.008117,1
40145.000000,magr,0.001814,1
40145.100000,aclz,-0.019824,0
40145.100000,magtheta,-0.026485,0
40145.200000,magr,0.001653,0
40145.300000,acly,0.010098,1
40145.300000,magr,0.007721,1
40145.400000,aclz,-0.014328,1
40145.500000,aclz,-0.014366,0
40145.500000,magphi,0.020409,0
40145.700000,gyry,0.014997,1
40145.700000,gyrz,-0.006577,0
40145.800000,gyry,0.014854,0
40145.900000,aclz,-0.004892,1
40145.900000,gyrx,-0.017814,0
40146.000000,aclz,-0.005731,0
40146.000000,gyry,0.016730,1
40146.000000,magr,0.005575,0
40146.100000,magr,0.011465,1
40146.400000,magr,0.009971,0
40146.400000,magphi,0.028592,1
40146.500000,acly,-0.018425,0
40146.500000,aclz,0.009884,1
40146.500000,magr,0.015661,1
40146.600000,magtheta,0.003252,1
40146.700000,gyrz,0.007963,1
40146.800000,aclx,0.000442,0
40146.800000,gyrz,0.007609,0
40146.900000,gyrx,0.013660,1
40147.000000,gyrz,0.008304,1
40147.100000,aclz,-0.009324,0
40147.100000,gyry,-0.012437,0
40147.100000,magr,0.011847,0
40147.200000,magr,0.017451,1
40147.400000,gyry,-0.011425,1
40147.400000,gyrz,0.007016,0
40147.500000,aclz,-0.005699,1
40147.500000,gyry,-0.011706,0
40147.500000,gyrz,0.007392,1
40147.500000,magphi,0.016195,0
40147.600000,aclz,-0.005861,0
40147.700000,gyrx,0.005064,0
40147.800000,aclz,-0.003324,1
40147.800000,gyrz,0.006173,0
40147.800000,magphi,0.017559,1
40147.900000,gyry,-0.007731,1
40148.000000,gyry,-0.007889,0
40148.000000,magphi,0.017105,0
40148.100000,gyrx,0.007077,1
40148.100000,magphi,0.017270,1
40148.300000,aclz,-0.007868,0
40148.300000,gyrx,0.006344,0
40148.400000,aclz,-0.007404,1
40148.500000,gyrx,0.006938,1
40148.500000,gyrz,0.013347,1
40148.600000,aclx,0.032351,1
40148.700000,aclz,-0.011416,0
40148.700000,magtheta,-0.028811,0
40149.000000,acly,0.019248,1
40149.100000,magphi,0.008493,0
40149.600000,gyry,0.020320,1
40149.700000,aclz,0.002226,1
40149.700000,gyrx,-0.016326,0
40149.700000,gyrz,-0.002548,0
40149.800000,aclz,0.001744,0
40150.200000,aclz,0.010216,1
40150.200000,magphi,0.021074,1
40150.300000,acly,-0.013075,0
40150.400000,gyrz,0.012410,1
40150.500000,aclx,-0.008673,0
40150.500000,magtheta,0.005307,1
40150.700000,gyrx,0.012937,1
40150.700000,gyry,-0.007028,0
40150.800000,gyry,-0.006694,1
40151.000000,gyry,-0.009687,0
40151.100000,aclz,-0.006171,0
40151.300000,magr,-0.002510,0
40151.300000,magphi,0.009613,0
40151.400000,gyry,-0.006923,1
40151.400000,gyrz,0.005031,0
40151.400000,magr,-0.002395,1
40151.500000,gyrx,0.003849,0
40151.500000,gyry,-0.007177,0
40151.500000,magr,-0.005358,0
40151.600000,gyry,-0.006836,1
40151.700000,gyry,-0.007268,0
40151.800000,aclz,0.000828,1
40151.800000,magphi,0.012172,1
40152.000000,magr,0.001897,1
40152.200000,gyrx,0.007615,1
40152.200000,magr,-0.001343,0
40152.300000,aclz,-0.007494,0
40152.400000,gyrz,0.016086,1
40152.400000,magr,-0.001224,1
40152.500000,aclx,0.018164,1
40152.500000,gyry,0.001844,1
40152.500000,magr,-0.007311,0
40152.500000,magtheta,-0.021578,0
40152.600000,gyry,0.001658,0
40152.600000,magr,-0.006979,1
40152.700000,magr,-0.009733,0
40152.800000,acly,0.021083,1
40152.800000,magr,-0.009291,1
40152.900000,magr,-0.011940,0
40153.100000,magr,-0.005015,1
40153.100000,magphi,0.001484,0
40153.200000,magr,-0.007859,0
40153.300000,aclz,0.009790,1
40153.300000,gyrz,-0.001224,0
40153.300000,magr,-0.001359,1
40153.400000,aclz,0.009686,0
40153.400000,gyry,0.016351,1
40153.500000,gyrx,-0.011984,0
40153.500000,magr,-0.007241,0
40153.700000,magr,-0.006598,1
40153.700000,magphi,0.005480,1
40153.800000,magphi,0.005476,0
40153.900000,acly,0.003740,0
40153.900000,aclz,0.023745,1
40153.900000,magr,-0.014947,0
40153.900000,magphi,0.005631,1
40154.000000,aclx,-0.013013,0
40154.000000,gyrz,0.010295,1
40154.000000,magtheta,0.000260,1
40154.100000,gyry,-0.005609,0
40154.200000,gyry,-0.005573,1
40154.200000,magr,-0.013000,1
40154.300000,gyrx,0.012000,1
40154.400000,magr,-0.017849,0
40154.600000,aclz,-0.001020,0
40154.700000,gyry,-0.011668,0
40154.700000,magphi,-0.005410,0
40154.800000,gyrz,0.006874,0
40154.900000,gyry,-0.011045,1
40154.900000,gyrz,0.007158,1
40155.000000,acly,0.019839,1
40155.000000,gyrx,0.002985,0
40155.000000,gyry,-0.012043,0
40155.000000,gyrz,0.007135,0
40155.100000,acly,0.019759,0
40155.200000,gyry,-0.008712,1
40155.300000,aclz,0.008791,1
40155.300000,gyrz,0.009943,1
40155.300000,magr,-0.011743,1
40155.400000,gyry,-0.009223,0
40155.400000,gyrz,0.009892,0
40155.400000,magr,-0.014281,0
40155.400000,magphi,-0.002551,1
40155.500000,gyry,-0.009022,1
40155.600000,gyry,-0.009063,0
40155.600000,magr,-0.013012,1
40155.700000,gyrx,0.009836,1
40155.700000,gyrz,0.014662,1
40155.700000,magr,-0.015492,0
40155.900000,gyry,-0.003599,1
40155.900000,gyrz,0.012699,0
40156.000000,gyry,-0.004411,0
40156.000000,gyrz,0.013210,1
40156.100000,aclx,0.023281,1
40156.100000,magr,-0.001655,1
40156.200000,aclz,-0.006250,0
40156.200000,magr,-0.004651,0
40156.300000,magtheta,-0.033632,0
40156.400000,acly,0.035859,1
40156.400000,magphi,-0.012927,0
40156.500000,magr,0.002098,1
40156.600000,magr,-0.001069,0
40156.900000,aclz,0.008737,1
40157.000000,aclz,0.008425,0
40157.000000,gyry,0.015777,1
40157.000000,gyrz,-0.008897,0
40157.100000,gyrx,-0.018587,0
40157.300000,aclz,0.013997,1
40157.400000,aclz,0.013717,0
40157.500000,aclx,-0.002281,0
40157.500000,magr,-0.000703,1
40157.600000,acly,0.001632,0
40157.600000,aclz,0.021470,1
40157.600000,magr,-0.003743,0
40157.700000,magr,-0.003573,1
40157.700000,magtheta,-0.006398,1
40157.800000,gyrz,0.006430,1
40157.800000,magphi,0.009700,1
40157.900000,gyry,-0.011779,0
40158.000000,aclx,0.004922,1
40158.000000,gyrx,0.010697,1
40158.000000,gyry,-0.005287,1
40158.000000,magr,-0.014981,0
40158.100000,aclx,0.004753,0
40158.100000,magr,-0.014300,1
40158.200000,gyrz,0.000416,0
40158.200000,magr,-0.019793,0
40158.300000,magphi,0.003010,0
40158.400000,magr,-0.018035,1
40158.500000,aclz,0.000750,0
40158.500000,gyry,-0.011814,0
40158.500000,gyrz,0.001880,1
40158.600000,gyry,-0.011379,1
40158.600000,gyrz,0.001703,0
40158.600000,magr,-0.022436,0
40158.700000,gyrz,0.001830,1
40158.800000,acly,0.016106,1
40158.800000,gyrx,0.002929,0
40158.800000,gyry,-0.012506,0
40158.800000,gyrz,0.001754,0
40158.900000,acly,0.015880,0
40159.000000,aclz,0.010158,1
40159.000000,gyry,-0.007580,1
40159.100000,magr,-0.012680,1
40159.200000,magphi,0.008246,1
40159.300000,gyry,-0.010929,0
40159.300000,magr,-0.017557,0
40159.400000,gyrx,0.006990,1
40159.400000,gyrz,0.009245,1
40159.500000,gyrz,0.008537,0
40159.600000,magr,-0.015270,1
40159.700000,aclz,-0.000622,0
40159.700000,magr,-0.017647,0
40159.800000,aclx,0.030767,1
40159.800000,gyrz,0.010201,1
40159.800000,magtheta,-0.033486,0
40160.000000,acly,0.024365,1
40160.100000,aclz,0.003730,1
40160.200000,magr,-0.008388,1
40160.200000,magphi,0.001867,0
40160.300000,magr,-0.014149,0
40160.400000,gyry,0.016438,1
40160.400000,magr,-0.013506,1
40160.500000,gyry,0.015472,0
40160.500000,magr,-0.015964,0
40160.600000,aclz,0.001295,0
40160.600000,gyry,0.016123,1
40160.600000,gyrz,-0.009592,0
40160.700000,aclz,0.002125,1
40160.700000,gyrx,-0.020311,0
40160.700000,magr,-0.014546,1
40160.800000,aclz,0.001379,0
40160.800000,magr,-0.016956,0
40161.200000,aclz,0.010594,1
40161.200000,magphi,0.016499,1
40161.300000,aclx,-0.015183,0
40161.300000,acly,-0.012500,0
40161.300000,magtheta,0.006069,1
40161.400000,gyrz,0.008690,1
40161.600000,gyrx,0.012761,1
40161.600000,gyrz,0.006114,0
40161.700000,magr,-0.011156,1
40161.800000,magr,-0.013720,0
40161.900000,aclz,-0.011606,0
40161.900000,gyry,-0.017304,0
40161.900000,magphi,0.008486,0
40162.000000,gyrz,0.008678,1
40162.200000,gyry,-0.015573,1
40162.300000,gyrx,0.003572,0
40162.300000,gyry,-0.015724,0
40162.300000,gyrz,0.005905,0
40162.300000,magr,-0.005530,1
40162.400000,gyrz,0.006626,1
40162.400000,magr,-0.008350,0
40162.500000,aclz,-0.005329,1
40162.500000,gyrz,0.006430,0
40162.600000,magphi,0.014697,1
40162.700000,magr,-0.007262,1
40162.800000,gyrx,0.009149,1
40162.800000,magr,-0.010004,0
40162.900000,aclz,-0.012307,0
40162.900000,gyry,-0.006243,1
40162.900000,magr,-0.009549,1
40163.000000,aclz,-0.011361,1
40163.000000,gyry,-0.006411,0
40163.000000,magr,-0.012187,0
40163.100000,gyrz,0.013364,1
40163.100000,magr,-0.011633,1
40163.200000,aclz,-0.015746,0
40163.200000,magr,-0.017247,0
40163.300000,aclx,0.022370,1
40163.400000,magtheta,-0.027982,0
40163.500000,acly,0.022566,1
40163.600000,gyry,0.007591,1
40163.600000,magphi,0.002398,0
40163.700000,gyry,0.007435,0
40163.700000,magr,-0.008070,1
40163.800000,magr,-0.010775,0
40164.000000,gyry,0.014132,1
40164.000000,gyrz,-0.002845,0
40164.100000,gyrx,-0.014873,0
40164.100000,gyry,0.014029,0
40164.200000,gyry,0.014047,1
40164.700000,aclx,-0.001654,0
40164.700000,acly,-0.002450,0
40164.700000,magphi,0.014532,1
40164.700000,magtheta,-0.004522,1
40164.800000,aclz,0.023050,1
40164.900000,gyrz,0.010152,1
40165.100000,gyrx,0.013052,1
40165.200000,magr,-0.002103,1
40165.300000,gyry,-0.008350,0
40165.300000,magr,-0.005079,0
40165.400000,gyry,-0.008131,1
40165.500000,aclz,0.001316,0
40165.500000,magphi,-0.000724,0
40165.700000,gyrz,0.006882,0
40165.700000,magr,-0.004216,1
40165.800000,gyry,-0.013198,0
40165.800000,gyrz,0.007166,1
40165.800000,magr,-0.007096,0
40165.900000,gyrx,0.001756,0
40165.900000,gyrz,0.006749,0
40165.900000,magr,-0.000631,1
40166.000000,magr,-0.003673,0
40166.100000,aclz,0.007692,1
40166.200000,magphi,0.003806,1
40166.300000,gyry,-0.008926,1
40166.400000,gyry,-0.009496,0
40166.400000,magr,0.003093,1
40166.500000,gyrz,0.015247,1
40166.500000,magr,-0.000119,0
40166.600000,gyrx,0.008354,1
40166.700000,aclx,0.026374,1
40166.900000,aclz,-0.004775,0
