Relative Time (to start of segment),aclx 1,aclx 2,aclx 3,aclx 4,aclx 5,aclx 6,aclx 7,aclx 8,aclx 9,aclx 10,aclx 11,aclx 12,aclx 13,aclx 14,acly 1,acly 2,acly 3,acly 4,acly 5,acly 6,acly 7,acly 8,acly 9,acly 10,acly 11,acly 12,acly 13,acly 14,aclz 1,aclz 2,aclz 3,aclz 4,aclz 5,aclz 6,aclz 7,aclz 8,aclz 9,aclz 10,aclz 11,aclz 12,aclz 13,aclz 14,gyrx 1,gyrx 2,gyrx 3,gyrx 4,gyrx 5,gyrx 6,gyrx 7,gyrx 8,gyrx 9,gyrx 10,gyrx 11,gyrx 12,gyrx 13,gyrx 14,gyry 1,gyry 2,gyry 3,gyry 4,gyry 5,gyry 6,gyry 7,gyry 8,gyry 9,gyry 10,gyry 11,gyry 12,gyry 13,gyry 14,gyrz 1,gyrz 2,gyrz 3,gyrz 4,gyrz 5,gyrz 6,gyrz 7,gyrz 8,gyrz 9,gyrz 10,gyrz 11,gyrz 12,gyrz 13,gyrz 14,magr 1,magr 2,magr 3,magr 4,magr 5,magr 6,magr 7,magr 8,magr 9,magr 10,magr 11,magr 12,magr 13,magr 14,magphi 1,magphi 2,magphi 3,magphi 4,magphi 5,magphi 6,magphi 7,magphi 8,magphi 9,magphi 10,magphi 11,magphi 12,magphi 13,magphi 14,magtheta 1,magtheta 2,magtheta 3,magtheta 4,magtheta 5,magtheta 6,magtheta 7,magtheta 8,magtheta 9,magtheta 10,magtheta 11,magtheta 12,magtheta 13,magtheta 14,
0.987013,-1.288844,,,,,,,,,,,,,,-1.370081,,,,,,,,,,,,,,1.057938,,,,,,,,,,,,,,0.171333,,,,,,,,,,,,,,0.258607,,,,,,,,,,,,,,0.030338,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.377450,,,,,,,,,,,,,,1.376141,,,,,,,,,,,,,,
1.000000,-1.350089,,,,,,,,,,,,,,-1.327744,,,,,,,,,,,,,,1.120450,,,,,,,,,,,,,,0.128677,,,,,,,,,,,,,,0.283669,,,,,,,,,,,,,,-0.052900,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.323224,,,,,,,,,,,,,,1.410566,,,,,,,,,,,,,,
0.000000,,-1.263444,,,,,,,,,,,,,,-1.408392,,,,,,,,,,,,,,0.994914,,,,,,,,,,,,,,-0.041697,,,,,,,,,,,,,,-0.094259,,,,,,,,,,,,,,0.012287,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.474487,,,,,,,,,,,,,,1.232093,,,,,,,,,,,,,
0.015873,,-1.276211,,,,,,,,,,,,,,-1.410948,,,,,,,,,,,,,,1.120344,,,,,,,,,,,,,,-0.105401,,,,,,,,,,,,,,-0.094259,,,,,,,,,,,,,,0.090641,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.473374,,,,,,,,,,,,,,1.270892,,,,,,,,,,,,,
0.031746,,-1.251994,,,,,,,,,,,,,,-1.425014,,,,,,,,,,,,,,1.168926,,,,,,,,,,,,,,-0.141804,,,,,,,,,,,,,,-0.091037,,,,,,,,,,,,,,0.168994,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.479757,,,,,,,,,,,,,,1.234525,,,,,,,,,,,,,
0.047619,,-1.177465,,,,,,,,,,,,,,-1.424215,,,,,,,,,,,,,,1.412632,,,,,,,,,,,,,,0.049309,,,,,,,,,,,,,,-0.248915,,,,,,,,,,,,,,0.262039,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.486573,,,,,,,,,,,,,,1.210568,,,,,,,,,,,,,
0.063492,,-1.134833,,,,,,,,,,,,,,-1.407004,,,,,,,,,,,,,,1.619286,,,,,,,,,,,,,,0.364796,,,,,,,,,,,,,,-0.468012,,,,,,,,,,,,,,0.271833,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.463695,,,,,,,,,,,,,,1.186549,,,,,,,,,,,,,
0.079365,,-1.056351,,,,,,,,,,,,,,-1.316763,,,,,,,,,,,,,,1.564975,,,,,,,,,,,,,,0.774323,,,,,,,,,,,,,,-0.693554,,,,,,,,,,,,,,0.330598,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.379733,,,,,,,,,,,,,,1.053036,,,,,,,,,,,,,
0.095238,,-0.947428,,,,,,,,,,,,,,-1.172350,,,,,,,,,,,,,,1.432316,,,,,,,,,,,,,,1.150480,,,,,,,,,,,,,,-1.073752,,,,,,,,,,,,,,0.506893,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,1.270085,,,,,,,,,,,,,,0.919126,,,,,,,,,,,,,
0.111111,,-0.749584,,,,,,,,,,,,,,-0.898302,,,,,,,,,,,,,,1.049843,,,,,,,,,,,,,,1.393163,,,,,,,,,,,,,,-1.267073,,,,,,,,,,,,,,0.766439,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.996291,,,,,,,,,,,,,,0.669601,,,,,,,,,,,,,
0.126984,,-0.456318,,,,,,,,,,,,,,-0.615117,,,,,,,,,,,,,,0.723730,,,,,,,,,,,,,,1.523605,,,,,,,,,,,,,,-1.528056,,,,,,,,,,,,,,1.060264,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.658186,,,,,,,,,,,,,,0.340531,,,,,,,,,,,,,
0.142857,,-0.061806,,,,,,,,,,,,,,-0.308055,,,,,,,,,,,,,,0.238752,,,,,,,,,,,,,,1.590342,,,,,,,,,,,,,,-1.573164,,,,,,,,,,,,,,1.388369,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,0.252968,,,,,,,,,,,,,,-0.077512,,,,,,,,,,,,,
0.166667,,0.316496,,,,,,,,,,,,,,-0.016567,,,,,,,,,,,,,,-0.264535,,,,,,,,,,,,,,1.475068,,,,,,,,,,,,,,-1.776151,,,,,,,,,,,,,,1.677297,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.120861,,,,,,,,,,,,,,-0.443925,,,,,,,,,,,,,
0.190476,,0.749861,,,,,,,,,,,,,,0.143098,,,,,,,,,,,,,,-0.747502,,,,,,,,,,,,,,1.071609,,,,,,,,,,,,,,-1.586052,,,,,,,,,,,,,,1.780136,,,,,,,,,,,,,,0.000000,,,,,,,,,,,,,,-0.296346,,,,,,,,,,,,,,-0.930072,,,,,,,,,,,,,
