Time,Column,Value,Is Positive Peak
40317.500000,acly,0.016705,0
40317.600000,gyrx,-0.002259,0
40317.600000,gyry,0.009982,1
40317.700000,gyry,0.008779,0
40317.800000,gyrx,-0.000052,1
40317.800000,gyry,0.010885,1
40317.800000,gyrz,-0.006713,0
40317.900000,gyry,0.009691,0
40318.000000,acly,0.021448,1
40318.000000,gyrz,-0.002977,1
40318.000000,magtheta,-0.020129,1
40318.100000,gyrz,-0.003000,0
40318.100000,magtheta,-0.020553,0
40318.200000,gyry,0.012183,1
40318.200000,magr,-0.002139,0
40318.300000,gyrx,-0.015958,0
40318.300000,gyry,0.008576,0
40318.300000,gyrz,-0.001161,1
40318.300000,magphi,0.000162,0
40318.400000,aclz,0.012580,1
40318.400000,gyrx,-0.015893,1
40318.400000,magr,0.011407,1
40318.400000,magphi,0.000528,1
40318.500000,aclz,0.011877,0
40318.500000,gyrx,-0.016485,0
40318.500000,gyry,0.011625,1
40318.600000,gyry,0.010948,0
40318.700000,gyry,0.011754,1
40318.700000,gyrz,-0.003909,0
40318.700000,magr,0.009921,0
40318.800000,magr,0.016303,1
40318.800000,magphi,-0.001046,0
40318.900000,magr,0.012145,0
40318.900000,magphi,-0.000909,1
40319.000000,acly,-0.000177,0
40319.000000,magtheta,-0.008189,1
40319.100000,magr,0.024422,1
40319.100000,magtheta,-0.008269,0
40319.200000,aclx,-0.004322,0
40319.200000,aclz,0.024380,1
40319.200000,gyrz,0.004220,1
40319.300000,magphi,-0.003244,0
40319.300000,magtheta,-0.007893,1
40319.400000,magtheta,-0.007904,0
40319.500000,magtheta,-0.007627,1
40319.700000,gyry,-0.011948,0
40319.800000,gyry,-0.011504,1
40319.900000,gyrx,0.009048,1
40319.900000,gyrz,-0.004419,0
40320.000000,gyry,-0.014361,0
40320.100000,gyry,-0.013807,1
40320.200000,acly,0.016148,1
40320.300000,gyry,-0.014393,0
40320.500000,gyrz,0.011761,1
40320.600000,gyrx,-0.000114,0
40320.700000,gyrz,0.009825,0
40320.800000,gyrz,0.010373,1
40321.000000,acly,0.005970,0
40321.200000,aclx,0.033783,1
40321.200000,aclz,-0.003584,0
40321.200000,magphi,0.030106,1
40321.300000,gyrx,0.006954,1
40321.300000,gyrz,0.004638,0
40321.400000,aclz,-0.002339,1
40321.400000,gyrz,0.004961,1
40321.400000,magtheta,-0.040675,0
40321.500000,aclz,-0.002539,0
40321.700000,gyrx,-0.001648,0
40321.700000,gyry,0.015476,1
40321.800000,gyrz,-0.003945,0
40321.800000,magr,0.002061,0
40321.900000,gyrx,0.000300,1
40321.900000,gyry,0.005549,0
40321.900000,magr,0.008800,1
40321.900000,magtheta,-0.033190,1
40322.000000,gyrz,-0.003102,1
40322.100000,gyry,0.010681,1
40322.100000,magtheta,-0.034670,0
40322.200000,acly,0.024530,1
40322.200000,gyrz,-0.004593,0
40322.300000,gyry,0.008504,0
40322.300000,gyrz,-0.002236,1
40322.400000,gyrz,-0.003677,0
40322.500000,gyry,0.010820,1
40322.600000,gyrx,-0.013947,0
40323.100000,magr,-0.003363,0
40323.200000,aclx,0.004061,0
40323.200000,aclz,0.034444,1
40323.200000,gyrz,0.006557,1
40323.200000,magr,0.003623,1
40323.200000,magphi,0.002010,0
40323.300000,aclx,0.004087,1
40323.300000,acly,0.004077,0
40323.300000,gyry,-0.001922,0
40323.300000,magphi,0.002092,1
40323.400000,gyry,-0.001333,1
40323.500000,aclx,0.003381,0
40323.500000,magr,0.003151,0
40323.600000,gyrx,0.006002,1
40323.600000,magr,0.009841,1
40323.600000,magphi,0.000360,0
40323.600000,magtheta,-0.019852,1
40323.700000,gyrx,0.004414,0
40323.700000,gyrz,-0.005253,0
40323.900000,gyrx,0.006968,1
40323.900000,gyry,-0.010683,0
40324.000000,gyry,-0.010496,1
40324.100000,acly,0.014016,1
40324.200000,gyry,-0.013896,0
40324.400000,gyry,-0.013339,1
40324.500000,gyry,-0.013482,0
40324.500000,gyrz,0.008986,1
40324.700000,gyrx,-0.001437,0
40324.800000,gyrz,0.004735,0
40324.900000,gyrz,0.005399,1
40325.000000,gyrz,0.005226,0
40325.100000,acly,0.002691,0
40325.200000,aclx,0.036467,1
40325.200000,magphi,0.035409,1
40325.200000,magtheta,-0.041616,0
40325.300000,gyrx,0.006900,1
40325.400000,gyrx,0.006676,0
40325.400000,gyrz,0.012852,1
40325.400000,magr,-0.001741,0
40325.500000,aclz,-0.007000,0
40325.600000,gyrx,0.007531,1
40326.000000,gyry,0.012701,1
40326.100000,acly,0.022024,1
40326.100000,gyry,0.012676,0
40326.100000,gyrz,-0.003272,0
40326.200000,gyry,0.015857,1
40326.300000,gyry,0.014237,0
40326.300000,gyrz,0.000300,1
40326.400000,gyry,0.015093,1
40326.500000,gyrx,-0.011526,0
40326.600000,gyry,0.014004,0
40326.600000,gyrz,-0.001955,0
40326.700000,gyry,0.014420,1
40327.000000,acly,0.008499,0
40327.200000,aclz,0.024658,1
40327.200000,gyrz,0.001522,1
40327.200000,magr,-0.000754,1
40327.300000,aclx,-0.006455,0
40327.300000,magr,-0.004136,0
40327.300000,magphi,-0.007115,0
40327.500000,magtheta,-0.008856,1
40327.700000,gyrx,0.008764,1
40327.700000,gyrz,-0.006858,0
40327.900000,acly,0.016118,1
40327.900000,magr,-0.003129,1
40328.000000,gyry,-0.013807,0
40328.000000,magr,-0.006403,0
40328.200000,gyry,-0.012921,1
40328.300000,gyrz,0.004368,1
40328.400000,gyrx,-0.001409,0
40328.400000,gyry,-0.013588,0
40328.400000,gyrz,0.003550,0
40328.600000,gyrz,0.004623,1
40328.700000,gyrz,0.004024,0
40328.700000,magr,-0.004623,1
40328.800000,acly,0.002345,0
40328.800000,gyrz,0.004490,1
40328.800000,magr,-0.007830,0
40328.900000,gyrz,0.004012,0
40328.900000,magr,-0.007474,1
40329.000000,aclx,0.031505,1
40329.000000,gyrx,0.008912,1
40329.000000,gyrz,0.004363,1
40329.000000,magr,-0.010551,0
40329.000000,magphi,0.033540,1
40329.100000,aclz,-0.006652,0
40329.100000,magtheta,-0.036556,0
40329.300000,gyrx,-0.000093,0
40329.400000,gyrx,0.000937,1
40329.400000,gyrz,-0.002614,0
40329.500000,aclz,-0.002013,1
40329.500000,gyrx,0.000797,0
40329.500000,gyrz,-0.001962,1
40329.600000,aclz,-0.002416,0
40329.600000,gyrx,0.001038,1
40329.600000,magr,-0.007981,1
40329.700000,acly,0.017136,1
40329.700000,gyrz,-0.002988,0
40329.700000,magr,-0.011035,0
40329.800000,gyry,0.014901,1
40329.800000,gyrz,-0.001512,1
40329.900000,gyry,0.014676,0
40329.900000,gyrz,-0.002985,0
40329.900000,magr,-0.010055,1
40330.000000,magr,-0.013014,0
40330.100000,aclz,0.010044,1
40330.100000,gyrz,-0.002018,1
40330.200000,magr,-0.011858,1
40330.300000,gyrx,-0.020627,0
40330.300000,gyry,0.018740,1
40330.300000,magr,-0.014735,0
40330.400000,gyry,0.018641,0
40330.500000,gyry,0.019148,1
40330.500000,gyrz,-0.005792,0
40330.600000,gyrz,-0.005687,1
40330.800000,aclz,0.000952,0
40330.800000,gyrz,-0.007084,0
40330.900000,aclz,0.002488,1
40331.000000,aclz,0.001959,0
40331.200000,aclz,0.004659,1
40331.400000,gyrz,-0.001207,1
40331.400000,magphi,0.000461,0
40331.500000,aclx,-0.022673,0
40331.500000,acly,-0.024929,0
40331.600000,magr,-0.008049,1
40331.600000,magtheta,0.019676,1
40331.800000,magr,-0.014011,0
40331.900000,gyrz,-0.010674,0
40332.000000,gyrx,0.009298,1
40332.300000,acly,-0.019178,1
40332.300000,gyry,-0.014467,0
40332.400000,aclz,-0.011454,0
40332.400000,gyry,-0.014159,1
40332.500000,aclz,-0.011387,1
40332.500000,gyry,-0.015066,0
40332.600000,gyrz,0.007815,1
40332.700000,aclz,-0.013694,0
40332.700000,gyrx,0.003247,0
40332.700000,gyrz,0.007301,0
40332.800000,aclz,-0.010825,1
